TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
3.297233560,0.295577,0.491055,0.24005,1.07226,0.452172,0.527508,0.0735488,1.58831,0.4753,0.594958,1.0243,0.26887
3.343673469,0.102144,0.297375,0.911634,0.772686,0.134482,0.289608,0.543535,2.03087,0.151053,0.317963,0.795054,0.525846
3.390113379,0.145563,0.0272533,1.10098,0.89394,0.100713,0.71755,0.925326,1.49026,0.32939,0.784742,0.271299,0.717502
3.436553288,0.112362,0.0855318,1.05174,1.1287,0.057824,0.944398,0.977964,0.691076,0.623037,0.757663,0.326342,0.673294
3.482993197,0.0807167,0.516387,1.23612,0.923948,0.0764579,0.918723,0.803808,0.348275,0.618259,0.176526,0.267773,0.556589
3.529433107,1.27572,0.363705,0.00390509,0.753599,0.0498532,2.24197,0.417396,0.533716,0.425879,1.35211,0.000452651,0.172203
3.575873016,1.64291,0.09117,0.0373192,0.451731,0.0537388,2.79163,0.209515,0.60273,0.391799,1.49391,0.0952672,0.0364137
3.622312925,1.8997,0.137249,0.112305,0.357399,0.0348679,2.81488,0.0958155,0.670938,0.107215,1.3944,0.173262,0.0623794
3.668752834,1.76287,0.159,0.0288792,0.285668,0.0287042,2.96876,0.0805303,0.712456,0.117312,1.31171,0.0744938,0.157326
3.715192744,1.68681,0.153175,0.00277106,0.279419,0.0365881,2.97828,0.0530185,0.682315,0.186051,1.2865,0.0248714,0.189184
3.761632653,1.75127,0.182484,0.00112947,0.196678,0.101209,2.58142,0.00675967,0.75064,0.157138,1.06711,0.0225101,0.156615
3.808072562,1.75784,0.323273,0.384687,0.207053,0.118514,2.25233,0,0.717312,0.198043,0.95425,0.043561,0.0946129
3.854512472,1.78955,0.268476,0.349369,0.202308,0.129418,2.33907,0.181196,0.74602,0.163941,0.833551,0.0743322,0.189784
3.900952381,2.11962,0.0134692,0.085276,0.139984,0.15489,2.6866,0.170267,0.743057,0.198349,0.813679,0.0168867,0.11516
3.947392290,2.44865,0.0262301,0.00363004,0.380516,0.0373531,3.23235,0.0695896,0.314439,0.0509371,1.11576,0.0125547,0.0378225
3.993832200,2.50576,0.0258282,0.00188986,0.351479,0.0308911,3.69761,0.249001,0.304245,0.0167373,1.28819,0.00193774,0
4.040272109,2.47044,0.0305053,0.00122733,0.371403,0.0336463,3.70854,0.407156,0.296385,0.000985449,1.28635,0.00210331,0.00570977
4.086712018,2.32969,0.0595219,0.0109301,0.581179,0.0237534,3.44006,0.55459,0.238246,0.063401,1.14561,0.0599238,0.0807836
4.133151927,2.27973,0.0666595,0.0480462,0.731565,0.0213512,3.23078,0.562832,0.215307,0.266752,0.852459,0.0755823,0.140391
4.179591837,2.26094,0.0320925,0.00348295,0.707733,0.0482918,3.16578,0.479852,0.186732,0.428721,0.666074,0.0306302,0.144168
4.226031746,1.77583,0.0809222,0.0386056,0.295193,0.10766,3.30225,0.304283,0.320557,0.558936,0.57864,0.108553,0.10569
4.272471655,1.50032,0.253626,0.00290466,0.201309,0.257523,3.3599,0.268678,0.68811,0.396502,0.770393,0.0559429,0.000155758
4.318911565,1.59739,0.253789,0.00303491,0.192785,0.113776,3.24888,0.327665,0.797252,0.193522,0.863717,0.0529933,0.0274509
4.365351474,1.58144,0.230089,0.00421378,0.213344,0.0382599,3.187,0.242732,0.775277,0.159325,0.845028,0.0509097,0.0528947
4.411791383,1.62731,0.243285,0.0190757,0.242827,0.101852,3.13799,0.171504,0.663647,0.170148,0.738094,0.0383501,0.0302657
4.458231293,1.86283,0.200693,0.0823423,0.218117,0.195564,3.06337,0,0.576634,0.186804,0.705266,0.101246,0
4.504671202,1.93026,0.173513,0.0630166,0.312629,0.297823,2.95106,0.124225,0.538366,0.339207,1.41087,0.121031,0
4.551111111,1.68895,0.179668,0.139911,0.296266,0.114133,3.01567,0.175843,0.505992,0.459527,1.47505,0,0.0485248
4.597551020,1.67873,0.16563,0.159076,0.362775,0.0867485,3.08969,0.115974,0.447191,0.434283,1.47983,0,0.0730899
4.643990930,1.69725,0.143449,0.214502,0.246757,0.079675,3.01201,0.00749739,0.479488,0.422907,1.36667,0.00628452,0.0826336
4.690430839,1.3411,0.0284539,0.610849,0.234073,0.651781,2.37168,0.226577,0.353115,0.539083,0.564353,0.604655,0.00668617
4.736870748,0.26913,0.0397236,0.930494,0.268719,0.845448,1.88694,0.195522,0.49811,0.416087,0.0482811,1.8572,3.41394e-05
4.783310658,0.759495,0.0355621,0.591504,0.341151,0.704531,1.83797,0.155794,0.327462,0.197869,0.158817,1.95043,7.69267e-05
4.829750567,1.83406,0.0353955,0.205203,0.297596,0.210106,2.65451,0.190004,0.194698,0.0545781,0.563942,1.51541,0.000161759
4.876190476,2.08798,0.0311648,0.000488635,0.171177,0.0898778,3.43896,0.178273,0.138328,0.0247918,1.20855,0.901444,5.63682e-05
4.922630385,2.18791,0.0262919,0,0.225011,0.0545077,3.64875,0.424731,0.0831796,0.0402178,1.3958,0.368943,0
4.969070295,2.22257,0.0274625,0.043467,0.447073,0.00650318,3.48171,0.623322,0.0685685,0.0790584,1.36957,0.0861805,0.00992065
5.015510204,2.17536,0.0256893,0.190034,0.660656,0.00416788,2.96096,0.562905,0.0623756,0.11395,1.04558,0.119821,0.00442932
5.061950113,1.49038,0.0399108,0.697299,0.486093,0.01617,2.2039,0.369893,0.094408,0.141743,0.204569,1.8604,0.0295059
5.108390023,0.360967,0.0409343,1.16267,0.174467,0.0775644,1.80587,0.160555,0.246358,0.3212,0.00011736,3.02176,4.75934e-05
5.154829932,0.213381,0.0350919,1.18104,0.0635993,0.0701342,1.79039,0.136864,0.308384,0.411917,0,3.33803,0.10013
5.201269841,0.28777,0.041786,1.06007,0.133349,0.261061,1.86867,0.0177644,0.473852,0.276318,0,3.28774,0.121574
5.247709751,0.387532,0.0522827,0.898714,0.265722,0.157248,2.10442,0.0438914,0.479867,0.278271,0,3.00176,0.114253
5.294149660,0.347289,0.029961,0.662242,0.362951,0.250321,2.00107,0.548252,0.146307,0.302981,0.0330429,2.4172,0.0899864
5.340589569,0.184999,0.17026,0.601368,0.221787,0.208905,2.07019,0.557541,0.0157838,0.379271,0.0538807,2.0127,0.0721478
5.387029478,0.582981,0.206509,0.487476,0.268488,0.177334,1.50826,0.460829,0.180147,0.301156,0.0817906,1.8201,0.000430721
5.433469388,0.722616,0.0957296,0.294406,0.283889,0.163649,1.31426,0.315742,0.320253,0.461217,0.289261,1.65461,0.000168838
5.479909297,0.673239,0.282385,0.307958,0.225729,0.0846115,1.46173,0.214441,0.29961,0.757414,0.419469,1.62439,0.0667052
