TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.835918367,2.20775,0.0374499,0.780118,0.00372826,0,1.2762,0.0510166,3.14187,0.00214568,0.111721,0.15316,0.256669
0.882358277,2.31996,0.145031,0.549665,0.0152553,0.0373412,1.46598,0,3.02225,0.00505082,0.0711109,0.0389246,0.352704
0.928798186,2.52931,0.134822,0.284562,0.0269098,0.112153,1.37998,0.00535863,3.00513,0.0253913,0.00937456,0.323478,0.349076
0.975238095,2.83193,0.0895143,0.179114,0.0712817,0.218033,1.22436,0.00718908,2.93089,0.025449,0.0098083,0.711059,0.431844
1.021678005,2.73952,0.000987047,0.361054,0.0896528,0.232354,1.15256,0.13183,2.89732,0.00757209,0.0116927,0.598758,0.327929
1.068117914,2.57319,0.000894902,0.612599,0.00477381,0.134248,1.19121,0.128129,2.93706,0.0133329,0.00263515,0.13046,0.267139
1.114557823,2.31192,0,0.700897,0.00811588,0.103763,1.43399,0.161626,3.06662,0.0731208,0.00142136,0.000834144,0.318478
1.160997732,2.21766,0.000312239,0.726068,0.0144628,0.00796719,1.56291,0.0504422,3.15436,0.0843581,0.00592715,0.0185845,0.267077
1.207437642,2.10809,0,0.658398,0.00728505,0.130821,1.77031,0.01773,3.20821,0.0897123,0.00170873,0.0278015,0.292825
1.253877551,2.20677,0.000945706,0.705455,0.00741056,0.214839,1.88082,0.0182648,3.15522,0.0976014,0,0.011727,0.3028
1.300317460,2.43882,0.000304735,0.523919,0,0.314418,1.78479,0.00174323,3.14312,0.103534,0,0.0106384,0.421297
1.346757370,2.86965,0.13547,0.210396,0.148415,0.435755,1.43075,0.0212973,2.70403,0.0966995,0,0.0224584,0.284021
1.393197279,2.51784,0.177251,0.432669,0.783409,0.0940476,1.42705,0.0183293,2.09252,0.622468,0,0.0143608,0.253904
1.439637188,1.40803,0.25713,0.654201,0.767743,0.101747,1.37779,0.025206,1.96589,0.926578,0,0.165065,0.652298
1.486077098,1.20082,0.333983,0.732252,0.715729,0.155938,1.31105,0.115725,2.3032,0.886199,0,0.220261,0.81586
1.532517007,1.4838,0.320354,0.713147,0.763133,0.112963,1.05017,0.347142,2.70554,0.479241,0.0539317,0.159144,0.661692
1.578956916,1.3813,0.267467,0.760313,0.315496,0.129052,1.29974,0.142855,2.97775,0.10027,0.00785436,0.192424,0.415253
1.625396825,2.07335,0.0450304,0.86509,0,0.194332,1.78214,0.0830482,2.97119,0.0456501,0,0.121359,0.130408
1.671836735,2.54364,0.0949185,0.627628,0.0355801,0.261132,1.61049,0.0258013,2.91836,0.00856891,0,0.0967729,0.218786
1.718276644,2.54464,0,0.735213,0,0.17808,1.51724,0.0565793,2.87535,0.0123286,0,0.143172,0.195231
1.764716553,2.28644,0,0.827569,0,0.0744724,1.52492,0.0400221,2.88226,0.00875712,0.000941426,0.131576,0.214801
1.811156463,1.99044,0,0.789577,0.113413,0.122772,1.77185,0.0205783,2.79477,0.0038639,0.00778128,0.016826,0.205375
1.857596372,1.85308,0.0874986,0.505452,0.287674,0.146587,1.70066,0.0580934,2.74069,0.0368895,0.0368727,0.166224,0.128171
1.904036281,1.96886,0.101997,0.423744,0.576655,0.194898,1.40539,0.195985,2.66488,0.0437407,0.0468353,0.219862,0.127566
1.950476190,2.044,0.182171,0.397956,0.804283,0.150279,1.3164,0.217409,2.64079,0.00253117,0.0448147,0.367349,0.17024
1.996916100,1.98161,0.343258,0.432525,1.24078,0.117833,1.24193,0.194026,2.61292,0.414416,0.0324642,0.468107,0.184578
2.043356009,1.7339,0.560569,0.505123,1.45171,0.105485,1.58665,0.0538725,2.41556,1.35418,0.0143225,0.480394,0.258558
2.089795918,1.68455,1.02478,0.67121,1.67148,0.0622692,1.54226,0.0495928,2.14636,1.64158,0.00303647,0.364881,0.327073
2.136235828,1.81096,1.49785,0.716335,1.91008,0.00974773,1.17351,0.0616641,1.77407,1.70452,0.00377725,0.339829,0.298714
