TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
173.081541950,-203.743,5.07066,0.754464,12.1835,6.32422,2.07288,0.885014,-0.869549,-4.01261,7.12744,1.38553,4.11349,4.45275,2.21577,1.93678,8.11612,4.39596,-0.656098,-1.4118,-3.44948,-0.258877
173.104761905,-215.507,1.49101,-3.82957,10.2693,3.67615,-1.73523,-0.651662,0.236087,-5.69864,9.06277,1.40064,3.05834,2.69085,3.5011,-0.46075,8.10098,3.12929,0.644671,0.404342,-2.83508,2.23137
173.127981859,-160.549,-24.4494,11.2239,9.45301,-2.74036,4.80369,0.225549,-2.99078,0.111177,3.466,-2.42768,2.76958,0.999474,1.32298,1.33333,2.86705,-0.383009,-1.75429,-2.74181,-3.14935,-1.4756
173.151201814,-164.995,-7.58126,14.5477,12.6196,5.86721,9.74358,3.25142,1.16533,0.710915,0.0394647,-3.29081,1.05966,-0.485723,4.53663,1.4158,1.50892,0.315971,1.1564,0.624758,-1.42008,1.23006
173.174421769,-169.335,-2.713,12.7226,10.9251,6.7864,5.75193,2.86905,3.21044,0.976238,-0.896286,-3.77116,0.322896,0.317045,2.62751,2.17015,-0.127715,-1.32018,0.848887,1.29606,-0.0446617,1.14928
173.197641723,-177.902,2.23175,9.7988,12.2264,5.17574,4.21283,5.15572,3.36284,-1.24185,2.33794,-2.17968,-2.04044,2.33345,0.842825,-0.214585,1.94791,-1.96504,1.09123,2.37432,-0.660107,-1.47949
173.220861678,-194.844,5.47675,12.9311,11.8318,5.44479,1.86987,0.857582,2.40598,0.955059,5.68372,-0.906488,0.195823,2.65907,-1.06629,-1.44117,3.47062,0.4553,-0.703315,0.163534,-2.26234,-0.571181
173.244081633,-206.035,9.59817,12.8181,15.1861,5.5195,-0.392985,-0.825969,2.91857,3.20319,7.42795,-0.258892,0.199327,-0.885034,-2.17482,-0.92508,4.35853,0.615268,0.0126998,-0.520489,-2.24977,0.0658079
173.267301587,-200.952,8.0042,9.67264,16.812,1.11774,5.91298,0.324238,0.451991,2.18951,3.78152,-0.320783,1.58188,0.675281,1.60598,0.302419,4.05965,1.01513,1.88257,1.60426,-1.4312,-0.648236
173.290521542,-212.472,8.25886,10.4132,19.1815,2.2803,4.94618,0.704682,-1.15395,2.00972,5.34689,-0.220147,4.0791,3.81593,2.78828,1.01027,2.90126,2.47691,-0.562931,0.481894,-2.42529,-3.8984
173.313741497,-216.356,11.8464,7.66925,18.859,5.99719,4.98187,3.58307,2.01196,3.06309,6.09578,-2.55033,0.0306115,0.936365,-0.779446,-1.15255,5.30619,2.01788,-0.844973,0.347317,-2.74361,0.425912
173.336961451,-236.383,11.7177,6.43584,19.7766,9.15501,7.10368,5.71303,4.01886,1.57337,9.71628,-1.50963,2.3935,3.55336,1.26591,-1.90679,3.66391,0.250315,-0.390942,-0.223904,-3.34078,-2.84929
173.360181406,-146.014,-6.30687,5.89463,4.7976,-2.93254,1.29715,-4.04464,-3.45047,-0.266158,0.854353,-3.55459,1.11311,-1.15194,-0.967756,-0.781873,0.805989,1.5746,1.73087,-1.68141,-1.35895,0.767636
173.383401361,-171.871,-10.4455,22.5503,17.5506,-0.862283,5.83364,2.25201,1.43129,0.0581184,1.90052,-2.21281,1.026,-2.48163,-2.44123,-2.12361,-1.24987,-1.5032,1.09178,-1.06332,-1.48724,-2.25622
173.406621315,-192.672,-0.718816,18.7266,16.6821,1.58294,9.30118,3.5649,6.61268,3.09487,5.87976,-1.08625,-0.627195,-2.55666,1.12301,0.810019,-0.134041,-2.67642,-1.07139,-0.75055,0.526323,-1.06317
173.429841270,-200.639,4.01986,13.8215,14.7942,3.02202,7.14407,2.91734,4.98845,2.40762,5.2866,2.0996,0.316613,-0.56372,0.427245,0.119907,2.32366,-0.731454,1.05358,-0.426834,-0.0301825,-2.87082
173.453061224,-219.579,7.91589,14.1373,23.3315,3.80892,11.6942,1.53359,5.91728,0.156302,5.26266,1.90884,2.02126,1.59487,2.02556,-2.31833,6.03683,0.724805,1.13342,-0.993354,0.763775,0.179384
173.476281179,-223.541,14.2251,16.5247,22.3424,4.30894,2.76307,-0.705259,4.5552,0.755733,7.90026,0.489945,1.08142,1.02678,1.13043,2.34832,5.53638,1.34943,1.16608,0.739647,-3.19937,-0.116307
173.499501134,-228.857,12.7404,10.8141,18.1018,4.36922,3.2664,0.361056,1.60949,-0.0715057,9.56998,0.0800457,1.96431,2.99921,3.1153,3.31052,6.65796,1.97671,-0.0109214,0.342429,-0.496804,-0.164634
173.522721088,-235.113,16.795,10.4648,15.6214,4.47284,5.32293,4.31588,2.91493,-2.42002,3.87365,-0.96599,2.13811,2.90299,0.425512,1.69617,7.19492,3.65795,-0.221316,-0.149198,-4.9293,-2.91992
173.545941043,-232.964,18.7359,8.12724,19.7045,7.83905,-0.563153,3.17386,2.76569,-0.493293,5.93191,0.74497,4.37195,3.94268,2.24713,0.476764,3.5431,1.35876,0.324019,2.458,-0.895536,0.281686
173.569160998,-239.092,19.2719,8.63418,19.1325,6.5069,0.351473,5.26251,2.04567,-1.49209,8.3091,-0.385143,1.70659,5.66664,3.91438,0.778856,5.78653,3.49533,-0.797055,0.989414,-3.41398,-0.938032
173.592380952,-212.863,0.785951,14.4914,16.8524,1.90322,6.23275,1.17272,3.18356,1.8533,3.94893,-1.42317,1.92125,1.23913,2.45934,3.62015,4.98907,3.76782,1.71473,-0.562679,-4.25259,-3.31922
173.615600907,-166.15,-15.0514,19.8287,12.853,1.15929,4.79754,0.364363,-1.52794,0.853354,2.24926,-2.12711,2.13307,-0.821745,-0.209978,1.88089,2.9506,1.53535,2.88728,-0.226283,0.666766,1.52542
173.638820862,-161.82,-4.7031,10.2416,8.11806,3.22584,4.37578,-1.17684,0.0184984,-0.651332,0.911386,-1.78296,1.58054,1.94013,3.56391,3.19769,3.70437,2.46664,1.85565,1.68732,2.21338,2.20479
173.662040816,-169.031,-1.47097,9.42729,6.36457,4.92062,0.976766,-0.362167,1.42297,-2.12476,0.226984,3.68486,1.67142,2.35042,4.38464,3.02093,5.36739,3.07768,3.1247,0.464584,-0.931812,-0.2297
173.685260771,-189.116,7.27576,12.181,6.69194,4.22153,4.18734,-1.95684,0.0769217,-1.02863,0.688081,0.179952,2.18665,0.577884,2.07809,-0.392373,2.63239,2.20783,2.59638,1.38837,-1.38588,0.0204318
173.708480726,-206.85,9.61743,15.0908,8.04609,4.21881,1.14248,0.60224,1.76011,-1.66172,1.77175,0.266291,0.728908,3.34061,5.43789,0.498787,6.6328,2.45555,-0.180943,-0.114042,-1.09051,1.0789
173.731700680,-198.145,13.3688,5.52663,6.20623,1.07055,4.79256,0.11487,3.76199,0.00205517,3.16049,1.38518,2.42527,4.98824,6.40946,3.27786,5.63946,0.0619352,-1.60923,0.682863,-0.189911,-0.239918
173.754920635,-217.69,13.4326,15.745,13.5931,1.10276,4.56009,-3.41469,0.561639,-3.12339,4.19646,2.59785,0.797947,2.06444,1.13337,0.952183,3.9561,-1.28231,0.619628,0.293434,-1.02507,-2.34083
173.778140590,-234.646,19.627,11.4599,13.86,2.95268,2.09214,0.269883,0.186738,-3.12131,1.61346,2.4932,3.73909,5.0897,3.59775,2.16102,3.66195,0.91941,1.69689,0.385492,-0.0242434,-1.28363
173.801360544,-251.062,24.1903,11.9792,16.8369,2.33744,0.298698,2.58073,1.94239,-0.51332,5.75826,-0.310804,4.86241,5.11455,2.0336,2.16688,7.11436,3.41048,-0.617189,-1.79782,-0.385471,1.20545
173.824580499,-251.828,19.1347,1.98281,9.92909,-1.17568,-3.43539,-0.86338,-1.57615,-1.99399,4.69144,-1.01534,2.95437,3.5995,4.8655,1.70318,4.95021,-0.699989,-0.510738,-0.788512,-3.31715,0.0736641
173.847800454,-126.753,-7.3622,2.59998,4.90188,-3.20091,3.92586,-1.39394,-2.88516,-4.09204,-2.85111,-4.90328,-0.177799,-5.59268,-5.37968,-3.4915,-1.88498,-3.22293,-2.91374,-2.25808,-1.74673,-2.8249
173.871020408,-140.705,-6.61532,-0.512099,11.0508,-0.142843,7.84172,1.70792,4.89371,-0.750866,0.67563,-3.02576,-2.3066,-2.14922,0.40341,-0.297251,0.878184,-1.89548,-1.18381,-3.69183,-1.98943,-1.10284
173.894240363,-159.39,-2.24362,-3.2854,9.40161,1.8813,10.5907,5.48141,8.93988,3.39981,3.97265,1.7188,2.43076,3.2865,0.558377,0.590056,1.19044,0.363502,-2.16537,-2.86947,-2.79182,-2.86004
173.917460317,-182.715,-0.875684,3.50763,14.0343,0.841472,10.176,4.1546,7.56905,1.76075,2.23591,2.03977,3.15379,4.06134,6.59655,6.66283,4.48182,0.84233,0.674038,-1.79136,-0.277274,-0.546521
173.940680272,-199.423,2.71127,5.31699,17.1573,0.0677909,10.0451,2.21636,7.59671,2.89707,5.42871,2.36655,3.25414,4.8595,7.35432,5.24939,4.96392,1.10596,0.716569,-2.33601,-4.30339,-3.1275
173.963900227,-193.492,11.3362,5.16077,5.72466,3.01407,5.76341,1.54791,2.29594,1.8188,1.95433,3.69931,5.72491,7.19977,4.20799,5.05499,5.16924,2.73523,0.295588,2.25181,0.89907,0.0230263
173.987120181,-185.764,2.21285,9.29881,5.91293,4.22252,1.61229,3.07985,2.82763,1.88657,1.63053,1.16574,3.94563,5.01096,3.73103,4.18901,5.74886,4.09962,2.5145,2.52728,3.22299,2.21409
174.010340136,-185.56,0.286255,9.82329,4.3085,2.61504,0.00362359,3.46373,2.2572,-1.34883,-0.560604,1.42069,4.83388,6.79891,6.09033,3.84588,4.71241,5.21421,3.43482,1.62362,2.11269,4.15997
174.033560091,-192.028,-1.62197,9.26736,3.83237,3.03636,2.36374,1.65541,2.28298,-0.241424,1.72144,1.22647,1.94521,2.18495,1.24533,3.44456,5.72498,4.29806,1.65099,2.28992,4.66874,5.04061
174.056780045,-233.585,19.1892,-2.13902,8.30192,-0.539844,-3.4019,-1.20014,2.3156,-0.577292,0.479489,-1.36178,0.285288,2.81039,6.05978,5.27363,4.41118,0.773679,0.377434,-0.103403,0.922004,3.49115
174.080000000,-158.907,-20.1907,12.1519,3.70014,-10.5505,0.856726,1.0141,-0.298068,1.73397,4.78926,-0.312671,3.82757,0.938972,0.990298,-0.0605213,-0.348589,-0.318675,1.4179,1.17221,-0.512537,-0.503772
174.103219955,-178.221,-10.3559,20.9869,11.9474,0.373208,8.36137,2.73405,1.89623,1.97604,4.31979,1.22428,5.2375,-0.313275,2.12178,2.24933,3.43748,2.61168,3.09665,1.28476,-1.12683,-0.792519
174.126439909,-187.503,0.337962,21.8179,9.45497,-2.21485,2.60245,1.60499,4.27755,2.66935,3.0701,-1.16337,0.722056,-0.27831,0.811885,-0.456639,1.17458,0.626463,1.17293,0.233087,0.0544978,1.86554
174.149659864,-212.408,-1.46879,18.6304,7.90578,0.760885,1.53396,2.45535,4.97731,1.24015,4.63071,1.14845,2.61789,3.78302,4.13855,2.21255,5.06669,2.19858,2.08721,-0.777283,-1.84485,-0.906879
174.172879819,-216.195,3.74529,23.0921,8.70328,0.235148,3.19378,2.9247,7.07976,3.55389,3.93178,-0.182836,-1.02398,2.67472,5.73851,4.21826,3.74075,1.37002,-0.152886,-0.434944,-2.60959,-0.0784566
174.196099773,-226.319,11.256,22.6586,9.78112,0.883341,2.24158,2.9234,2.82771,-0.673285,3.15241,0.393647,0.592014,1.95284,0.641086,-2.52318,0.547099,-1.4278,-0.165402,0.494806,0.107054,-0.230727
174.219319728,-221.828,2.11588,14.137,11.3496,5.62321,2.12202,-1.20658,1.40196,1.47336,4.65749,4.23307,2.98948,4.18727,3.4707,4.07858,6.80525,-0.26761,-1.58636,-2.71751,-2.31876,0.384824
174.242539683,-223.191,9.86831,13.711,8.26332,6.73928,2.67442,2.68545,3.59467,2.5417,2.63882,4.30007,5.31838,8.019,5.09398,1.73142,3.41944,1.86726,-1.78587,-5.91348,-4.08479,0.0614394
174.265759637,-240.035,5.48184,8.04575,-0.374215,6.12445,-6.11456,0.597941,-1.94406,-3.10064,2.91077,-0.253986,3.43517,5.06851,2.44045,3.2371,3.65668,1.4933,-0.758096,-2.11067,-0.575471,1.78999
174.288979592,-269.986,16.6849,-1.73495,3.51139,-1.87262,-2.92918,-2.79052,-0.4394,-6.69986,-2.90107,-1.35467,4.06002,4.98469,4.96993,5.90619,5.03926,1.92873,0.904871,-1.0749,-2.02205,1.15788
174.312199546,-149.868,-6.57922,3.85517,0.967435,-6.97444,-1.21,-5.41254,-4.23375,-0.679173,0.2672,-6.07617,0.541459,-3.19144,-4.62838,-2.31318,1.6796,1.81202,-1.49962,-2.78446,-2.10452,-0.412152
174.335419501,-164.091,-8.75296,17.216,14.0814,2.07676,5.54264,0.189793,-1.8201,-2.80811,-1.1227,-2.87154,1.02827,-2.22322,-2.32067,-0.406009,-0.617866,-1.45609,-0.930897,-2.20436,1.25599,-0.13715
174.358639456,-172.259,-3.93434,11.3389,11.3308,6.37351,8.91125,3.91952,0.490885,-2.52633,1.11308,0.535328,1.71766,0.637004,-0.338395,-1.6782,-0.0937002,-0.251412,0.292727,0.89473,1.25107,-0.258792
174.381859410,-180.674,-1.68412,14.6565,11.3681,7.66405,6.72458,3.51963,3.29268,-0.00800898,1.54816,2.82922,2.63074,0.803732,-0.641394,-0.649781,0.735943,3.14252,3.51268,1.03521,2.10562,0.908677
174.405079365,-210.592,6.19128,13.4805,16.8356,0.921781,8.29286,2.31354,5.06852,0.447085,2.81969,5.16517,5.26176,4.23057,1.68342,1.54829,7.13654,3.01032,-0.0236293,-0.709736,1.84775,1.73011
174.428299320,-233.2,10.9071,13.5861,15.5173,1.721,9.24035,1.50177,8.19144,2.22732,6.13912,2.3861,3.94794,4.76463,4.16415,4.34395,3.95127,1.1463,2.19219,3.55474,2.3546,0.894705
174.451519274,-214.681,16.2797,4.63123,8.38551,4.28535,4.10087,1.77289,5.5462,1.90189,5.77594,3.96538,2.82899,1.57611,2.14521,4.66219,5.35382,5.1715,3.30304,2.44855,3.04396,2.54663
