TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
249.242993197,0.127579,0.355607,0.0189929,0.82581,2.07226,0,0.347288,0.0354433,2.8962,0.922778,0.384686,0.43548
249.289433107,0.254272,0.250318,0.0925795,0.947699,2.20638,0.0362363,0.506955,0.0961771,1.76796,1.83635,0.584551,0.248615
249.335873016,0.248608,0.274488,0.147235,1.01255,2.17539,0.192982,0.384447,0.200662,1.16321,2.44103,0.671264,0.121348
249.382312925,0.352829,0.230306,0.145279,0.754005,2.17512,0.175059,0.0407003,0.260205,1.79482,2.22709,0.672569,0.0992331
249.428752834,0.366624,0.305981,0.130275,1.05427,2.06648,0.0470353,0.046735,0.207702,2.17812,1.69551,0.376237,0.222784
249.475192744,0.403337,0.199858,0.19587,1.66447,1.56667,0,0.0537166,0.109471,2.27984,1.0895,0.0741683,0.378871
249.521632653,0.822028,0.0448853,0.201263,1.62391,1.67557,0.0131921,0.143566,0.280498,1.78403,1.21064,0.210105,0.708039
249.568072562,0.912717,0.0439775,0.0280378,1.32575,2.24673,0.0228991,0.162038,0.265128,1.14146,2.30639,0.258115,0.657747
249.614512472,0.784548,0.0646821,0.0616936,0.80559,2.6263,0.0200891,0.0791596,0.0489897,0.623322,2.68746,0.229584,0.349169
249.660952381,0.45829,0.223387,0.174126,1.00556,2.4093,0.163199,0.127721,0.527704,0.513229,2.5234,0.264199,0.216533
249.707392290,0.336268,0.327858,0.333974,1.07927,2.44151,0.269886,0.213402,0.550277,0.717825,1.46072,0.198877,0.252905
249.753832200,0.331218,0.436392,0.273368,1.20658,1.91364,0.215764,0.398435,0.258419,0.40369,1.53176,0.254487,0.23695
249.800272109,0.241365,0.285876,0.213937,1.33788,1.64466,0.130158,0.506342,0.13718,1.14475,2.16821,0.524045,0.164358
249.846712018,0.37909,0.842789,0.146438,0.683464,1.78319,0.168124,1.01557,0.00349634,0.880579,2.0497,0.524516,0.593026
249.893151927,0.824931,0.926819,0.0595787,0.0716976,1.91252,0.0870803,0.769224,0.0363804,0.152723,2.01175,0.445765,0.913989
249.939591837,1.12655,0.795075,0.0105576,0.0272546,2.17775,0,0.658866,0.0660767,0.170184,2.234,0.389414,0.803216
249.986031746,1.39167,0.472946,0,0.0367247,2.17305,0,0.671748,0.0870058,0.214007,2.45828,0.339324,0.517706
250.032471655,1.28299,0.460932,0.0307898,0.0303389,2.06914,0,0.424147,0.0281261,0.226941,2.58212,0.0384692,0.587703
250.078911565,0.80983,0.100093,0,0.084681,2.02797,0.191578,0.136265,0.252452,0.923529,2.17404,0,0.803261
250.125351474,0.697853,0.0564746,0.163897,0.0774032,1.79716,0.457731,0.102303,0.229836,1.11772,1.21056,0.570609,0.480347
250.171791383,1.02835,0.285894,0.308568,0.094863,1.87277,0.326632,0.157289,0.534059,0.580618,0.836909,1.12593,0.206705
250.218231293,1.37683,0.399195,0.345349,0.212201,1.83604,0.324412,0.12846,0.58879,0.434352,0.717694,1.37645,0.149218
250.264671202,1.09966,0.250679,0.898771,0.258095,1.60625,0.0439758,0.400612,0.672672,0.458247,0.757236,1.44046,0.185474
250.311111111,1.02045,0.263761,0.872833,1.96691,0.769394,0.129356,0.359334,0.252113,1.87686,0.163777,0.431087,0.0912663
250.357551020,1.06387,0.282217,0.0840737,2.461,0.0104005,0.140846,0.231064,0.144096,2.94468,0.145644,0.254562,0.160561
250.403990930,0.799677,0.171496,0.0529481,2.40694,0.00712421,0.0423578,0.196205,0.006212,3.28389,0.157795,0.264316,0.344566
250.450430839,0.745546,0.165167,0.061479,2.1878,0.00650685,0.0746151,0.165758,0,3.29016,0.122442,0.230386,0.255226
250.496870748,0.380729,0.00867032,0.14745,2.12281,0.0929035,0.0319286,0.0468264,0.0406979,3.62286,0.0885258,0.172943,0.921033
250.543310658,0.185567,0.00906227,0.16346,1.44067,0.551258,0.000516792,0.33017,0.2182,2.52994,0.0602811,0.039417,2.31586
250.589750567,0.124195,0.0587249,0.264749,1.48025,0.95514,0.0508222,0.700041,0.563596,1.37103,0.0717866,0.000916562,2.56505
250.636190476,0.0745182,0.0747519,0.230069,1.30647,0.97819,0.169583,0.895887,0.473352,0.617588,0.0718943,0.0014616,2.98257
250.682630385,0.16531,0.183385,0.178565,1.2012,0.917691,0.248825,1.00258,0.288654,0.598024,0.0503686,0.00216718,3.18547
250.729070295,0.177181,0.2209,0.122816,1.99234,0.00185897,0.345702,0.524107,0,0.815018,0.0429346,0.0251999,3.47184
250.775510204,0.128405,0.252098,0.0812574,2.48682,0,0.175323,0.523639,0,1.9718,0.021588,0.0750359,3.39484
250.821950113,0.0821076,0.243215,0.0756729,2.63439,0.000969105,0.11283,0.569835,0.00031525,2.43257,0.0255314,0.102491,3.06475
250.868390023,0,0.093404,0.0245566,2.53162,0,0.0711601,0.625969,0.0311243,2.55463,0.0115312,0.134609,3.03739
250.914829932,0.000439634,0.00266602,0.0287424,2.31588,0,0.0344845,0.616531,0.011764,2.47826,0.00211937,0.118421,3.10934
250.961269841,0.000581348,0.0809276,0.0217686,2.13662,0.00983531,0.0242517,0.548988,0.0303711,1.88313,0.0389165,0.0973995,3.33141
251.007709751,0.000647177,0.272086,0.148096,1.688,0.0342563,0.00701736,1.19421,0.00752728,1.57616,0.32159,0,3.33295
251.054149660,0.000331543,0.5759,0.267948,1.03269,0.223597,0.0304603,2.00703,0.112591,1.23415,0.49038,0,2.91455
251.100589569,0.138313,0.908295,0.370469,0.7303,0.406386,0.0098606,2.53368,0.186734,0.300269,0.490192,0.0106958,2.35895
251.147029478,0.167498,1.45392,0.584803,0.708628,0.632956,0.0903233,2.8483,0.0728041,0.00348632,0.440925,0.276669,1.83831
251.193469388,0.162355,1.81308,0.367677,0.668305,0.760679,0.0953439,2.37325,0.0747432,0.794366,0.243053,0.169875,1.86804
251.239909297,0.241723,1.86893,0.0406605,1.38581,0.673093,0.0250414,1.72938,0.0049812,2.19808,0,0.0515421,2.14497
251.286349206,0.354167,1.25032,0,1.94186,0.505311,0.0138082,1.2175,0.00872493,2.67737,0.0430568,0.0883653,1.67608
251.332789116,1.07015,1.05759,0.00137067,2.1575,0.463782,0.0211947,1.07342,0.0151419,2.82127,0.129006,0.110967,0.957722
251.379229025,1.34862,1.18836,0.0051193,2.2879,0.148637,0.0158941,1.1197,0.0124865,2.73241,0.39121,0.00138617,0.683994
251.425668934,0.866373,1.07101,0.107798,2.11472,0.0275407,0.0637032,1.46918,0.325412,2.48515,0.742692,0,1.01905
251.472108844,0.370666,1.35898,0.340921,1.42251,0.313217,0.110179,1.68107,0.555822,2.48938,0.358698,0.0526928,1.14173
251.518548753,0.0756655,1.60337,0.455247,0.326704,0.66134,0.252845,1.39688,0.522878,2.50534,0.280723,0.0485496,1.47082
251.564988662,0.184098,1.7908,0.597083,0.391361,0.541855,0.299588,1.09835,0.345124,2.49349,0.140652,0.0171626,1.28689
251.611428571,0.225677,1.83209,0.388965,0.724397,0.113024,0.214011,0.995137,0.190059,2.72633,0.00345069,0.0104567,1.71759
251.657868481,0.293551,1.3929,0.169951,0.59471,0.110917,0.00564528,2.18369,0.0472767,1.89185,0.00262065,0.0567812,2.58186
251.704308390,0.680272,1.10223,0.255385,0,0.0083672,0.00323022,2.34046,0.0293246,1.60379,0.00720713,0.482265,2.62222
251.750748299,0.504152,1.60284,0.169188,0,0.00334306,0.0198035,2.17384,0.0380094,1.41349,0.0100939,0.512918,2.26643
251.797188209,0.307023,1.76271,0.0253748,0,0,0.0302707,2.36175,0.0498719,1.44555,0.255909,0.313309,1.62581
251.843628118,0.247623,1.66095,0.0235915,0.0016562,0,0.0137762,2.35579,0.0309182,1.39566,0.51296,0.00125265,1.13642
251.890068027,0.204314,1.8085,0.00265772,0.0793255,0.4018,0.262265,1.77313,0,0.555723,0.564652,0.0148823,1.03327
251.936507937,0.16901,2.00454,0.0729885,0.0803181,0.472077,0.511059,1.10315,0.0305071,0.495584,0.412212,0.142321,0.913633
251.982947846,0.395093,2.0804,0.131884,0.0590573,0.259735,0.419467,0.68087,0.240873,1.14441,0.215655,0.776246,0.524501
252.029387755,0.687382,2.1876,0.15062,0.24666,0.189636,0.367502,0.43783,0.327768,1.57214,0.269328,0.94134,0.340835
252.075827664,0.600952,2.05888,0.208739,0.317824,0.357178,0.266369,0.278101,0.278704,1.8006,0.375585,0.849357,0.494313
252.122267574,0.508988,1.94478,0.371908,0.309499,0.362788,0.198484,0.632609,0.11718,1.86795,0.229138,0.853295,0.593582
252.168707483,0.583117,1.51512,0.640065,0.548181,0.225332,0.00281353,0.830904,0.121754,2.09987,0.214889,0.28388,1.09224
252.215147392,1.41455,0.531982,0.467832,0.408928,0.237015,0.0423929,0.702246,0.158812,2.4783,0.369292,0.127341,0.92657
252.261587302,1.66589,0.140075,0.284445,0.185178,0.279946,0.375366,0.3915,0.133026,2.65195,0.625625,0.33376,0.755874
252.308027211,1.04337,0.906544,0.00105023,0.37413,0.46402,0.107725,0.482315,0.231928,3.16166,0.258738,0.324426,0.130783
252.354467120,0.298778,1.1213,0.108492,0.548296,0.945945,0.184768,0.211347,0.567128,3.09246,0.198468,0.306599,0.0647767
